article_id,authors,author_name
2001.00001,"Maria Mannone, Federico Favali, Balandino Di Donato, Luca Turchet","Maria Mannone, Federico Favali, Balandino Di Donato, Luca Turchet"
2001.00003,"Chengyue Jiang, Zhonglin Nian, Kaihao Guo, Shanbo Chu, Yinggong Zhao,
  Libin Shen, Kewei Tu","Chengyue Jiang, Zhonglin Nian, Kaihao Guo, Shanbo Chu, Yinggong Zhao,
  Libin Shen, Kewei Tu"
2001.00004,"Rakesh Mohanty, Debasis Dwibedy, Shreeya Swagatika Sahoo","Rakesh Mohanty, Debasis Dwibedy, Shreeya Swagatika Sahoo"
2001.00006,Travis LaCroix and Yoshua Bengio,Travis LaCroix
2001.00006,Travis LaCroix and Yoshua Bengio,Yoshua Bengio
2001.00007,"Esteve del Acebo, Yousef Alizadeh-Q, Sayyed Ali Hossayni","Esteve del Acebo, Yousef Alizadeh-Q, Sayyed Ali Hossayni"
2001.00008,Maxime Bassenne and Adrian Lozano-Duran,Maxime Bassenne
2001.00008,Maxime Bassenne and Adrian Lozano-Duran,Adrian Lozano-Duran
2001.00009,Ankit Chadha and Mohamed Masoud,Ankit Chadha
2001.00009,Ankit Chadha and Mohamed Masoud,Mohamed Masoud
2001.00012,Kenneth Choi and Tony Lee,Kenneth Choi
2001.00012,Kenneth Choi and Tony Lee,Tony Lee
2001.00016,"Szabolcs Lenart, Abel LHorinczi, Csaba Szanto, Istvan
  Sz""ollHosi","Szabolcs Lenart, Abel LHorinczi, Csaba Szanto, Istvan
  Sz""ollHosi"
2001.00021,"John Napp, Rolando L. La Placa, Alexander M. Dalzell, Fernando G. S.
  L. Brandao, Aram W. Harrow","John Napp, Rolando L. La Placa, Alexander M. Dalzell, Fernando G. S.
  L. Brandao, Aram W. Harrow"
2001.0003,"Sirui Lu, Lu-Ming Duan, Dong-Ling Deng","Sirui Lu, Lu-Ming Duan, Dong-Ling Deng"
2001.00034,Bernardo Alves Furtado,Bernardo Alves Furtado
2001.00035,"Shuo Huang, Ke wu, Xiaolin Meng and Cheng Li","Shuo Huang, Ke wu, Xiaolin Meng"
2001.00035,"Shuo Huang, Ke wu, Xiaolin Meng and Cheng Li",Cheng Li
2001.00036,Martin Horak and Martin Kruvzik,Martin Horak
2001.00036,Martin Horak and Martin Kruvzik,Martin Kruzik
2001.00046,"Misha Kilmer, Lior Horesh, Haim Avron, Elizabeth Newman","Misha Kilmer, Lior Horesh, Haim Avron, Elizabeth Newman"
2001.00047,Aggelos Kiayias and Aikaterini-Panagiota Stouka,Aggelos Kiayias
2001.00047,Aggelos Kiayias and Aikaterini-Panagiota Stouka,Aikaterini-Panagiota Stouka
2001.00048,"Ahmed Abdelhamed, Balakrishna Yadav Peddagolla, Girma Tewolde, Jaerock
  Kwon","Ahmed Abdelhamed, Balakrishna Yadav Peddagolla, Girma Tewolde, Jaerock
  Kwon"
2001.00051,"Rahul Radhakrishnan Iyer, Yulong Pei, Katia Sycara","Rahul Radhakrishnan Iyer, Yulong Pei, Katia Sycara"
