article_id,author_name
2001.00001,Maria Mannone
2001.00001,Federico Favali
2001.00001,Balandino Di Donato
2001.00001,Luca Turchet
2001.00003,Chengyue Jiang
2001.00003,Zhonglin Nian
2001.00003,Kaihao Guo
2001.00003,Shanbo Chu
2001.00003,Yinggong Zhao
2001.00003,Libin Shen
2001.00003,Kewei Tu
2001.00004,Rakesh Mohanty
2001.00004,Debasis Dwibedy
2001.00004,Shreeya Swagatika Sahoo
2001.00006,Travis LaCroix
2001.00006,Yoshua Bengio
2001.00007,Esteve del Acebo
2001.00007,Yousef Alizadeh-Q
2001.00007,Sayyed Ali Hossayni
2001.00008,Maxime Bassenne
2001.00008,Adrian Lozano-Duran
2001.00009,Ankit Chadha
2001.00009,Mohamed Masoud
2001.00012,Kenneth Choi
2001.00012,Tony Lee
2001.00016,Szabolcs Lenart
2001.00016,Abel LHorinczi
2001.00016,Csaba Szanto
2001.00016,"Istvan
  Sz""ollHosi"
2001.00021,John Napp
2001.00021,Rolando L. La Placa
2001.00021,Alexander M. Dalzell
2001.00021,"Fernando G. S.
  L. Brandao"
2001.00021,Aram W. Harrow
2001.0003,Sirui Lu
2001.0003,Lu-Ming Duan
2001.0003,Dong-Ling Deng
2001.00034,Bernardo Alves Furtado
2001.00035,Shuo Huang
2001.00035,Ke wu
2001.00035,Xiaolin Meng
2001.00035,Cheng Li
2001.00036,Martin Horak
2001.00036,Martin Kruvzik
2001.00046,Misha Kilmer
2001.00046,Lior Horesh
2001.00046,Haim Avron
2001.00046,Elizabeth Newman
2001.00047,Aggelos Kiayias
2001.00047,Aikaterini-Panagiota Stouka
2001.00048,Ahmed Abdelhamed
2001.00048,Balakrishna Yadav Peddagolla
2001.00048,Girma Tewolde
2001.00048,"Jaerock
  Kwon"
2001.00051,Rahul Radhakrishnan Iyer
2001.00051,Yulong Pei
2001.00051,Katia Sycara
2001.00053,Kamyar Givaki
2001.00053,Behzad Salami
2001.00053,Reza Hojabr
2001.00053,S. M. Reza Tayaranian
2001.00053,Ahmad Khonsari
2001.00053,Dara Rahmati
2001.00053,Saeid Gorgin
2001.00053,Adrian Cristal
2001.00053,Osman S. Unsal
2001.00056,Pawan Kumar
2001.00056,Dhanajit Brahma
2001.00056,Harish Karnick
2001.00056,Piyush Rai
2001.00057,Bhairav Chidambaram
2001.00057,Mason McGill
2001.00057,Pietro Perona
2001.00058,Shengwen Xie
2001.00058,Juan Ren
2001.00059,Aditya Kanade
2001.00059,Petros Maniatis
2001.00059,Gogul Balakrishnan
2001.00059,Kensen Shi
2001.0006,Issam Hammad
2001.0006,Kamal El-Sankary
